Problema,OG,M3GP,OTDD,MD_train_m3gp,MD_train_og,% ERROR train,MD_test_m3gp,MD_test_og,% ERROR test,num rasgos m3gp,num rasgos OG,dif rasgos,nodos,Variance,PCA
Seg,Seg_5,Seg_5,3.7951,97.5343,72.2603,91.1111,95.6869,71.885,84.6591,8,19,-11,89,0.9998,8
Seg,Seg_6,Seg_6,6.2659,98.0822,72.7397,92.9648,95.8467,69.8083,86.2434,11,19,-8,242,1,11
Seg,Seg_7,Seg_7,4.3329,96.9178,71.9178,89.0244,94.5687,72.524,80.2326,8,19,-11,77,0.9998,8
Seg,Seg_8,Seg_8,3.1675,96.7123,71.7123,88.3777,96.0064,70.9265,86.2637,7,19,-12,50,0.9995,7
Seg,Seg_9,Seg_9,3.0315,97.1233,71.5753,89.8795,94.8882,72.6837,81.2866,7,19,-12,112,0.9994,7
Seg,Seg_10,Seg_10,2.464,96.8493,71.3699,88.9952,96.1661,74.7604,84.8101,6,19,-13,257,0.997,6
Seg,Seg_11,Seg_11,6.9412,98.8356,72.6712,95.7394,94.0895,69.6486,80.5263,14,19,-5,87,1,14
Seg,Seg_12,Seg_12,7.3934,98.1507,72.1233,93.3661,94.409,72.8435,79.4118,14,19,-5,165,1,14
Seg,Seg_13,Seg_13,5.005,98.1507,72.1918,93.3498,94.409,70.7668,80.8743,10,19,-9,84,1,10
Seg,Seg_14,Seg_14,6.239,98.2192,72.3973,93.5484,95.8467,73.1629,84.5238,13,19,-6,65,1,13
Seg,Seg_15,Seg_15,6.2473,97.9452,72.1918,92.6108,95.0479,71.5655,82.5843,13,19,-6,246,1,13
Seg,Seg_16,Seg_16,3.7617,97.2603,71.0959,90.5213,94.8882,76.0383,78.6667,8,19,-11,61,0.9998,8
Seg,Seg_17,Seg_17,4.8241,97.7397,71.9863,91.9315,95.3674,72.0447,83.4286,9,19,-10,120,0.9999,9
Seg,Seg_18,Seg_18,7.0707,98.2877,71.8493,93.9173,96.9649,72.3642,89.0173,12,19,-7,115,1,12
Seg,Seg_19,Seg_19,6.0031,98.2192,76.0959,92.5501,95.0479,75.0799,80.1282,12,19,-7,102,1,12
Seg,Seg_20,Seg_20,12.0757,98.9041,72.3288,96.0396,96.3259,73.6422,86.0606,19,19,0,117,1,19
Seg,Seg_21,Seg_21,4.9732,97.7397,75.8219,90.6516,94.2492,74.1214,77.7778,10,19,-9,101,1,10
Seg,Seg_22,Seg_22,6.5369,98.5616,72.9452,94.6835,96.1661,72.3642,86.1272,13,19,-6,85,1,13
Seg,Seg_23,Seg_23,9.3177,98.0822,71.9178,93.1707,95.8467,73.0032,84.6154,16,19,-3,144,1,16
Seg,Seg_24,Seg_24,11.4876,98.2877,71.2329,94.0476,96.3259,72.0447,86.8571,19,19,0,86,1,19
Seg,Seg_25,Seg_25,4.1608,97.3288,72.1233,90.4177,95.3674,70.2875,84.4086,9,19,-10,113,0.9999,9
Seg,Seg_26,Seg_26,7.0335,98.0822,71.5753,93.253,95.3674,73.0032,82.8402,13,19,-6,119,1,13
Seg,Seg_27,Seg_27,9.3769,98.4247,72.1918,94.335,95.0479,69.6486,83.6842,16,19,-3,115,1,16
Seg,Seg_28,Seg_28,7.277,98.0822,71.8493,93.1874,95.5272,73.0032,83.432,14,19,-5,85,1,14
Seg,Seg_29,Seg_29,8.6496,98.3562,72.1918,94.0887,96.9649,69.3291,90.1042,15,19,-4,101,1,15
Seg,Seg_30,Seg_30,12.685,98.7671,73.6301,95.3247,95.6869,73.4824,83.7349,21,19,2,170,1,19
Vowel,Vowel_1,Vowel_1,5.7153,100,96.5368,100,89.2256,51.1785,77.931,19,13,6,88,1,13
