Problema,OG,M3GP,OTDD,MLR_train_m3gp,MLR_train_og,% ERROR train,MLR_test_m3gp,MLR_test_og,% ERROR test,num rasgos m3gp,num rasgos OG,dif rasgos,nodos,Variance,PCA
Concrete,Concrete_20,Concrete_20,3.889259,5.17897,10.22331,49.34156,18.87973,10.35204,-82.3768,33,8,25,708,1,8
Concrete,Concrete_21,Concrete_21,3.37862,5.04027,10.19208,50.54718,7.43686,10.4414,28.77529,33,8,25,418,1,8
Concrete,Concrete_22,Concrete_22,2.727399,5.19524,10.3113,49.61605,11.7094,10.15162,-15.3452,37,8,29,520,1,8
Concrete,Concrete_23,Concrete_23,5.560186,5.03788,10.23964,50.80023,6.8079,10.32059,34.03573,31,8,23,634,1,8
Concrete,Concrete_24,Concrete_24,2.996349,5.32254,10.28228,48.23582,6.68028,10.23525,34.73261,37,8,29,468,1,8
Concrete,Concrete_25,Concrete_25,3.310282,5.07122,10.25602,50.55375,7.48196,10.26324,27.09945,33,8,25,448,1,8
Concrete,Concrete_26,Concrete_26,3.663072,5.00426,10.278,51.31094,6.10158,10.24773,40.45918,35,8,27,388,1,8
Concrete,Concrete_27,Concrete_27,2.941116,5.19109,10.26422,49.42541,6.63064,10.28483,35.52991,34,8,26,325,1,8
Concrete,Concrete_28,Concrete_28,2.466777,5.11619,10.22731,49.97523,9.76083,10.36172,5.799173,38,8,30,1005,1,8
Concrete,Concrete_29,Concrete_29,3.363232,4.84289,10.14909,52.28252,6.15047,10.51657,41.51639,36,8,28,429,1,8
Concrete,Concrete_30,Concrete_30,3.047782,5.04796,10.17273,50.37754,10.41183,10.46191,0.478736,35,8,27,298,1,8
EECooling,EECooling_1,EECooling_1,3.851861,1.44682,3.181156,54.51905,1.56226,3.201889,51.20817,32,8,24,225,1,8
EECooling,EECooling_2,EECooling_2,4.643272,1.22057,3.171369,61.51284,1.43618,3.229141,55.5244,28,8,20,693,1,8
EECooling,EECooling_3,EECooling_3,2.979681,1.22818,3.190776,61.50842,1.43492,3.189368,55.00927,34,8,26,243,1,8
EECooling,EECooling_4,EECooling_4,3.068785,1.22323,3.16423,61.34193,1.52146,3.249101,53.1729,33,8,25,466,1,8
EECooling,EECooling_5,EECooling_5,3.759709,1.19955,3.194177,62.44572,1.381,3.169769,56.43216,32,8,24,455,1,8
EECooling,EECooling_6,EECooling_6,3.54402,1.3662,3.165557,56.84171,1.59189,3.239156,50.85479,34,8,26,415,1,8
EECooling,EECooling_7,EECooling_7,3.501428,1.41902,3.174595,55.30076,1.61016,3.217786,49.96063,33,8,25,644,1,8
EECooling,EECooling_8,EECooling_8,4.257097,1.27289,3.176681,59.93019,1.43473,3.22057,55.45106,26,8,18,385,1,8
EECooling,EECooling_9,EECooling_9,5.672363,1.09271,3.178781,65.62488,1.42484,3.21126,55.62988,32,8,24,273,1,8
EECooling,EECooling_10,EECooling_10,6.305132,1.20827,3.180095,62.00523,1.39177,3.217565,56.74461,32,8,24,377,1,8
EECooling,EECooling_11,EECooling_11,6.343034,1.16613,3.172678,63.24462,1.4738,3.220159,54.23208,30,8,22,577,1,8
EECooling,EECooling_12,EECooling_12,2.859538,1.27913,3.176879,59.73627,1.53635,3.225508,52.36874,34,8,26,527,1,8
EECooling,EECooling_13,EECooling_13,3.013816,1.35197,3.162608,57.25143,1.59246,3.256318,51.0963,29,8,21,488,1,8
EECooling,EECooling_14,EECooling_14,4.140613,1.25334,3.153438,60.2548,1.49746,3.277194,54.30664,32,8,24,311,1,8
EECooling,EECooling_15,EECooling_15,3.635021,1.25184,3.170843,60.52028,1.50003,3.24279,53.7426,29,8,21,578,1,8
EECooling,EECooling_16,EECooling_16,2.568747,1.18934,3.15449,62.29692,1.60668,3.272292,50.90046,26,8,18,425,1,8
EECooling,EECooling_17,EECooling_17,4.654408,1.12005,3.160195,64.55757,1.38307,3.261923,57.59955,29,8,21,494,1,8
EECooling,EECooling_18,EECooling_18,5.020054,1.17002,3.166616,63.05141,1.36161,3.247363,58.07028,32,8,24,1025,1,8
EECooling,EECooling_19,EECooling_19,3.091169,1.3952,3.174916,56.05553,1.71652,3.217801,46.6555,32,8,24,447,1,8
EECooling,EECooling_20,EECooling_20,4.081052,1.39643,3.174133,56.00594,1.57179,3.21702,51.14144,35,8,27,592,1,8
EECooling,EECooling_21,EECooling_21,4.124879,1.41116,3.198759,55.88415,1.53499,3.166872,51.52977,34,8,26,543,1,8
EECooling,EECooling_22,EECooling_22,3.042074,1.36121,3.168938,57.04523,1.52127,3.236492,52.99633,31,8,23,538,1,8
EECooling,EECooling_23,EECooling_23,3.020907,1.19453,3.197905,62.64648,1.4035,3.167967,55.69714,32,8,24,349,1,8
EECooling,EECooling_24,EECooling_24,3.273014,1.32773,3.162079,58.01085,1.40885,3.252492,56.68398,30,8,22,259,1,8
EECooling,EECooling_25,EECooling_25,3.936638,1.14633,3.168654,63.82281,1.36179,3.243482,58.01457,33,8,25,320,1,8
EECooling,EECooling_26,EECooling_26,3.198738,1.08563,3.189616,65.96362,1.38095,3.182176,56.60359,35,8,27,314,1,8
EECooling,EECooling_27,EECooling_27,3.728607,1.22304,3.173999,61.46691,1.39905,3.222738,56.58816,28,8,20,373,1,8
EECooling,EECooling_28,EECooling_28,3.428599,1.19522,3.181796,62.43568,1.29788,3.204462,59.49773,34,8,26,267,1,8
EECooling,EECooling_29,EECooling_29,3.605509,1.28407,3.168744,59.477,1.43562,3.239724,55.68697,33,8,25,536,1,8
EECooling,EECooling_30,EECooling_30,3.816741,1.46258,3.197695,54.26143,1.56695,3.160786,50.4253,33,8,25,404,1,8
EEHeat,EEHeat_1,EEHeat_1,3.253462,0.44913,2.980869,84.93292,0.42087,2.777294,84.84604,31,8,23,216,1,8
EEHeat,EEHeat_2,EEHeat_2,3.988215,0.42964,2.925424,85.31358,0.39165,2.929892,86.63261,34,8,26,473,1,8
EEHeat,EEHeat_3,EEHeat_3,3.773462,0.45204,2.953243,84.69344,0.41617,2.848469,85.3897,31,8,23,282,1,8
EEHeat,EEHeat_4,EEHeat_4,3.362774,0.45033,2.987714,84.92727,0.42192,2.763172,84.73059,31,8,23,444,1,8
EEHeat,EEHeat_5,EEHeat_5,3.724512,0.45731,2.969327,84.59887,0.41204,2.813891,85.35693,34,8,26,657,1,8
EEHeat,EEHeat_6,EEHeat_6,4.150021,0.44868,2.991146,84.99973,0.40883,2.754471,85.15759,35,8,27,570,1,8
EEHeat,EEHeat_7,EEHeat_7,3.895243,0.44548,2.947723,84.88732,0.44337,2.860466,84.50008,32,8,24,353,1,8
EEHeat,EEHeat_8,EEHeat_8,3.647343,0.44064,2.939244,85.00839,0.40303,2.878423,85.99823,37,8,29,514,1,8
EEHeat,EEHeat_9,EEHeat_9,5.456116,0.44781,2.898708,84.55139,0.42434,2.974063,85.73198,32,8,24,489,1,8
EEHeat,EEHeat_10,EEHeat_10,4.290735,0.43759,2.941725,85.12472,0.41668,2.873793,85.5007,32,8,24,789,1,8
EEHeat,EEHeat_11,EEHeat_11,3.928703,0.43002,2.926294,85.30496,0.43063,2.91484,85.22629,39,8,31,316,1,8
EEHeat,EEHeat_12,EEHeat_12,2.834639,0.45414,2.925057,84.47415,0.42014,2.922086,85.62191,31,8,23,308,1,8
EEHeat,EEHeat_13,EEHeat_13,4.411378,0.44262,2.947319,84.98229,0.39546,2.871514,86.22817,33,8,25,294,1,8
EEHeat,EEHeat_14,EEHeat_14,3.612847,0.42417,2.926393,85.50536,0.41735,2.913664,85.67611,33,8,25,382,1,8
EEHeat,EEHeat_15,EEHeat_15,3.303573,0.45696,2.939653,84.45531,0.42409,2.891594,85.33369,34,8,26,643,1,8
EEHeat,EEHeat_16,EEHeat_16,2.840174,0.42377,2.91636,85.46921,0.4427,2.93876,84.93582,35,8,27,306,1,8
EEHeat,EEHeat_17,EEHeat_17,3.625534,0.43778,2.940938,85.11427,0.38976,2.875058,86.44341,35,8,27,352,1,8
EEHeat,EEHeat_18,EEHeat_18,5.855465,0.43067,2.9667,85.4832,0.41858,2.822524,85.17001,34,8,26,315,1,8
EEHeat,EEHeat_19,EEHeat_19,3.340932,0.45413,2.921875,84.45758,0.39212,2.925994,86.59874,34,8,26,531,1,8
EEHeat,EEHeat_20,EEHeat_20,3.479127,0.43956,2.959053,85.14525,0.36281,2.839372,87.22218,32,8,24,421,1,8
EEHeat,EEHeat_21,EEHeat_21,4.60138,0.44245,2.939254,84.94686,0.43157,2.892014,85.07718,35,8,27,276,1,8
EEHeat,EEHeat_22,EEHeat_22,2.577328,0.43593,2.961628,85.28073,0.36637,2.839342,87.09666,39,8,31,564,1,8
EEHeat,EEHeat_23,EEHeat_23,3.264922,0.43373,2.962969,85.36164,1.59178,2.837927,43.91047,35,8,27,378,1,8
EEHeat,EEHeat_24,EEHeat_24,3.132394,0.45374,2.972934,84.73764,0.38837,2.797295,86.11623,29,8,21,304,1,8
EEHeat,EEHeat_25,EEHeat_25,3.139115,0.43316,2.949904,85.31613,0.43409,2.855443,84.7978,34,8,26,263,1,8
EEHeat,EEHeat_26,EEHeat_26,3.572555,0.45018,2.924813,84.60825,0.4373,2.917316,85.01019,35,8,27,488,1,8
EEHeat,EEHeat_27,EEHeat_27,4.90088,0.44611,2.933623,84.79321,0.41407,2.901293,85.72809,29,8,21,542,1,8
EEHeat,EEHeat_28,EEHeat_28,3.005805,0.45799,2.906736,84.24384,0.41755,2.959687,85.89209,30,8,22,975,1,8
EEHeat,EEHeat_29,EEHeat_29,4.333737,0.4392,2.937139,85.04667,0.43477,2.888634,84.94894,30,8,22,179,1,8
EEHeat,EEHeat_30,EEHeat_30,2.98801,0.44856,2.944362,84.76546,0.41108,2.87603,85.70668,36,8,28,245,1,8
Housing,Housing_1,Housing_1,6.672061,2.039048,4.67742,56.40656,3.987493,4.747381,16.00647,34,13,21,335,1,13
